rnx,flux
ATPS_m,67.46446699
IDP_h,1.719467071
IDP_m,-6.00E-16
THD2_m,0
ATAM_c,9.394601097
GLTS_h,24.59707119
GLNA_h,28.78287293
FACOAL_181_9Z_c,0.067554527
ACS_c,0.670455015
UTAL_c,0.031921111
ASPTA_L_c,0
ASPTA_L_h,-6.164032154
OAAAKGt_m,-4.49E-15
ASPTA_L_m,0
FACOAL_160_c,0
SERDC_m,0.01806225
SAL_m,0
ALATA_L_h,0
GLYK_c,0.001997534
MDH_m,-1.319094662
MALAKGt_m,2.265155123
MALOAAt_m,0
ME1_m,8.845012475
PGI_c,-1.147336824
PGI_h,-0.096565983
AMPD_c,0
FACOAL_180_c,0.003753336
TDSR_c,0.00613876
FTHDF_c,-1.60E-13
FTHFL_c,0
ASNS_c,0
ATPCS_c,0
AKGCITt_m,9.65E-16
MALCITt_m,0
OAACITt_m,0
CISY_m,9.907265795
G3PDH_h,0.2512198
TPI_h,72.82183213
DGOTO_c,0.001496885
PGM_c,-0.404201135
PGM_h,-0.096565983
PYC_m,0
CITICITt_m,0
MAT_c,0.112902552
GHMT_m,3.424097084
PEPC_m,8.588171133
PYK_c,0
AGPOP_c,0
GTPOP_c,0
PEPC_h,6.164032154
PPDK_h,0
PYK_m,0
PEPCK_m,0
SAT_h,0
DAOTO_c,0.001572495
DAPOP_c,0
DHFR1_c,0
DHFR2_c,0.001572495
AGAT_m,7.234163276
MALS_x,0.591640481
FACOAL_182_9Z12Z_c,0.003987919
PDH_E3_h,6.678952965
PDH_E3_m,7.898952014
PYDXK_c,0
PYDXPP_c,0
RPDPK_c,0
GMPS_c,0.030348616
GMPS_GLU_c,0
IMPD_c,0.030348616
PDH_E1a_h,6.678952965
PDH_E1a_m,0
TAL_m,0
ADH_c,0
THRA_m,0
SUAT_h,0.176620145
DCDT_c,0.00306938
DOLPMT_c,0
MDUMT_c,0.001572495
ATDTM_c,0.001572495
DTMPK_c,0
CCP2_m,7.234163276
CYSS_h,0
SAHH_c,-0.112902552
GAPDH_c,0
GAPDH_h,198.1207086
PGK_h,198.1207086
GAPDH_m,-11.62229227
ENO_h,-9.705095197
ENO_m,-8.588171133
G6PDH_c,0
DMOR_4_h,0.949451495
DMOR_4_m,0
MG3_c,0
MG2_c,0
CBL_m,0
IDIH_h,0
PETHCT_c,0.002257781
DHFOR1_c,0
THFOR1_c,0
THFOR2_c,0
DHFOR2_c,0
GGPS_h,0.11430341
GUAD_c,0
LDH_m,0
MI3PS_c,0.002709337
DVPCHLDR_h,0.002022512
PCHLDOR_h,0
PDXPP_c,0
PYDXNK_c,0
SDH_m,-7.961184119
PYDXS_c,0
UGDH_c,0.113273092
