,876,,,,,,,,,,,,,
400,0.031413718,,,,,,,,,,,,,
401,0.031812664,,,,,,,,,,,,,
402,0.032567977,,,,,,,,,,,,,
403,0.033290694,,,,,,,,,,,,,
404,0.034211494,,,,,,,,,,,,,
405,0.035024325,,,,,,,,,,,,,
406,0.035921188,,,,,,,,,,,,,
407,0.03685997,,,,,,,,,,,,,
408,0.03791765,,,,,,,,,,,,,
409,0.038875037,,,,,,,,,,,,,
410,0.03991913,,,,,,,,,,,,,
411,0.040943256,,,,,,,,,,,,,
412,0.041902594,,,,,,,,,,,,,
413,0.042954128,,,,,,,,,,,,,
414,0.043940945,,,,,,,,,,,,,
415,0.044846227,,,,,,,,,,,,,
416,0.045838624,,,,,,,,,,,,,
417,0.046781255,,,,,,,,,,,,,
418,0.047654112,,,,,,,,,,,,,
419,0.04881852,,,,,,,,,,,,,
420,0.049277888,,,,,,,,,,,,,
421,0.050055317,,,,,,,,,,,,,
422,0.050322271,,,,,,,,,,,,,
423,0.050654548,,,,,,,,,,,,,
424,0.050968758,,,,,,,,,,,,,
425,0.051161826,,,,,,,,,,,,,
426,0.051367046,,,,,,,,,,,,,
427,0.051622462,,,,,,,,,,,,,
428,0.051920662,,,,,,,,,,,,,
429,0.052182466,,,,,,,,,,,,,
430,0.052402344,,,,,,,,,,,,,
431,0.05272732,,,,,,,,,,,,,
432,0.053052822,,,,,,,,,,,,,
433,0.053203927,,,,,,,,,,,,,
434,0.053487322,,,,,,,,,,,,,
435,0.05381311,,,,,,,,,,,,,
436,0.054129048,,,,,,,,,,,,,
437,0.054139232,,,,,,,,,,,,,
438,0.054247094,,,,,,,,,,,,,
439,0.054322135,,,,,,,,,,,,,
440,0.054162804,,,,,,,,,,,,,
441,0.054008102,,,,,,,,,,,,,
442,0.05369324,,,,,,,,,,,,,
443,0.053267288,,,,,,,,,,,,,
444,0.052783369,,,,,,,,,,,,,
445,0.052238279,,,,,,,,,,,,,
446,0.051565753,,,,,,,,,,,,,
447,0.050880664,,,,,,,,,,,,,
448,0.050206169,,,,,,,,,,,,,
449,0.049412771,,,,,,,,,,,,,
450,0.04861068,,,,,,,,,,,,,
451,0.04792157,,,,,,,,,,,,,
452,0.047273107,,,,,,,,,,,,,
453,0.046500995,,,,,,,,,,,,,
454,0.045806368,,,,,,,,,,,,,
455,0.045143748,,,,,,,,,,,,,
456,0.044470204,,,,,,,,,,,,,
457,0.043819385,,,,,,,,,,,,,
458,0.043130902,,,,,,,,,,,,,
459,0.042390176,,,,,,,,,,,,,
460,0.041745384,,,,,,,,,,,,,
461,0.041075135,,,,,,,,,,,,,
462,0.04035007,,,,,,,,,,,,,
463,0.039671701,,,,,,,,,,,,,
464,0.038962099,,,,,,,,,,,,,
465,0.038238187,,,,,,,,,,,,,
466,0.037477477,,,,,,,,,,,,,
467,0.036707244,,,,,,,,,,,,,
468,0.035973496,,,,,,,,,,,,,
469,0.035156004,,,,,,,,,,,,,
470,0.034535299,,,,,,,,,,,,,
471,0.03383091,,,,,,,,,,,,,
472,0.033238584,,,,,,,,,,,,,
473,0.032623194,,,,,,,,,,,,,
474,0.03209703,,,,,,,,,,,,,
475,0.031703418,,,,,,,,,,,,,
476,0.031271735,,,,,,,,,,,,,
477,0.030964819,,,,,,,,,,,,,
478,0.030625604,,,,,,,,,,,,,
479,0.030450443,,,,,,,,,,,,,
480,0.030279914,,,,,,,,,,,,,
481,0.030152791,,,,,,,,,,,,,
482,0.030084256,,,,,,,,,,,,,
483,0.030108946,,,,,,,,,,,,,
484,0.030140417,,,,,,,,,,,,,
485,0.030129091,,,,,,,,,,,,,
486,0.030146105,,,,,,,,,,,,,
487,0.03013981,,,,,,,,,,,,,
488,0.029985089,,,,,,,,,,,,,
489,0.029870714,,,,,,,,,,,,,
490,0.02977238,,,,,,,,,,,,,
491,0.02944068,,,,,,,,,,,,,
492,0.029142088,,,,,,,,,,,,,
493,0.028698154,,,,,,,,,,,,,
494,0.028272366,,,,,,,,,,,,,
495,0.027660403,,,,,,,,,,,,,
496,0.027100294,,,,,,,,,,,,,
497,0.0263299,,,,,,,,,,,,,
498,0.025671701,,,,,,,,,,,,,
499,0.024883421,,,,,,,,,,,,,
500,0.024155836,,,,,,,,,,,,,
501,0.023121543,,,,,,,,,,,,,
502,0.022186289,,,,,,,,,,,,,
503,0.021170304,,,,,,,,,,,,,
504,0.020266499,,,,,,,,,,,,,
505,0.019329352,,,,,,,,,,,,,
506,0.018461743,,,,,,,,,,,,,
507,0.017601595,,,,,,,,,,,,,
508,0.016866466,,,,,,,,,,,,,
509,0.016041077,,,,,,,,,,,,,
510,0.015348412,,,,,,,,,,,,,
511,0.01469734,,,,,,,,,,,,,
512,0.014056323,,,,,,,,,,,,,
513,0.013393153,,,,,,,,,,,,,
514,0.012841468,,,,,,,,,,,,,
515,0.01230237,,,,,,,,,,,,,
516,0.011759518,,,,,,,,,,,,,
517,0.011306017,,,,,,,,,,,,,
518,0.010847806,,,,,,,,,,,,,
519,0.01036564,,,,,,,,,,,,,
520,0.009985306,,,,,,,,,,,,,
521,0.009741621,,,,,,,,,,,,,
522,0.009418052,,,,,,,,,,,,,
523,0.009162959,,,,,,,,,,,,,
524,0.00886873,,,,,,,,,,,,,
525,0.008652086,,,,,,,,,,,,,
526,0.008452716,,,,,,,,,,,,,
527,0.008247318,,,,,,,,,,,,,
528,0.008052498,,,,,,,,,,,,,
529,0.007874356,,,,,,,,,,,,,
530,0.007719629,,,,,,,,,,,,,
531,0.007552235,,,,,,,,,,,,,
532,0.007417659,,,,,,,,,,,,,
533,0.007253953,,,,,,,,,,,,,
534,0.007087296,,,,,,,,,,,,,
535,0.007017447,,,,,,,,,,,,,
536,0.006996723,,,,,,,,,,,,,
537,0.006882841,,,,,,,,,,,,,
538,0.006824872,,,,,,,,,,,,,
539,0.00673448,,,,,,,,,,,,,
540,0.006685755,,,,,,,,,,,,,
541,0.006568998,,,,,,,,,,,,,
542,0.006554259,,,,,,,,,,,,,
543,0.006455732,,,,,,,,,,,,,
544,0.006371565,,,,,,,,,,,,,
545,0.006253163,,,,,,,,,,,,,
546,0.006186603,,,,,,,,,,,,,
547,0.006103223,,,,,,,,,,,,,
548,0.006015765,,,,,,,,,,,,,
549,0.005989588,,,,,,,,,,,,,
550,0.005893197,,,,,,,,,,,,,
551,0.005870402,,,,,,,,,,,,,
