rxn,flux
ATPS_m,7.108547210786332
IDP_h,0.2242087953004133
IDP_m,0.0
THD2_m,0.0
ATAM_c,2.390363259389431
GLTS_h,0.3911498981243273
GLNA_h,2.7792089233679445
FACOAL_181_9Z_c,0.0
ACS_c,0.9859839828658385
UTAL_c,0.00320705531553217
ASPTA_L_c,0.947268526644589
ASPTA_L_h,-1.55836101466617
OAAAKGt_m,0.0
ASPTA_L_m,0.22418445398017717
FACOAL_160_c,0.0
SERDC_m,0.0
SAL_m,-0.19989005272094842
ALATA_L_h,1.353927289888064
GLYK_c,5.238073620074947e-16
MDH_m,0.0
MALAKGt_m,0.10004211059950709
MALOAAt_m,0.0
ME1_m,0.7347372308551734
PGI_c,-0.8876188099620118
PGI_h,-5.92368503177329e-16
AMPD_c,0.0
FACOAL_180_c,0.0
TDSR_c,0.0
FTHDF_c,6.49880607303168e-17
FTHFL_c,0.0
ASNS_c,0.04918173778027028
ATPCS_c,-0.947268526644589
AKGCITt_m,0.947268526644589
MALCITt_m,0.0
OAACITt_m,0.0
CISY_m,0.0
G3PDH_h,0.0
TPI_h,5.8930206879184865
DGOTO_c,0.0
PGM_c,0.0
PGM_h,-5.92368503177329e-16
PYC_m,0.0
CITICITt_m,0.0
MAT_c,0.007351919705171565
GHMT_m,-0.04113059043487334
PEPC_m,0.0
PYK_c,0.0
AGPOP_c,0.0
GTPOP_c,0.0
PEPC_h,0.0
PPDK_h,0.0
PYK_m,1.74390674437999
PEPCK_m,0.22418445398017717
SAT_h,0.0
DAOTO_c,0.0
DAPOP_c,0.0
DHFR1_c,0.0
DHFR2_c,0.0
AGAT_m,0.0
MALS_x,0.019768289700410124
FACOAL_182_9Z12Z_c,0.0
PDH_E3_h,0.09222887906255474
PDH_E3_m,0.6149268305552562
PYDXK_c,0.0
PYDXPP_c,0.0
RPDPK_c,0.0
GMPS_c,0.0
GMPS_GLU_c,0.0032070553155323367
IMPD_c,0.0032070553155323367
PDH_E1a_h,0.09222887906255474
PDH_E1a_m,0.0
TAL_m,0.0
ADH_c,0.0
THRA_m,0.0
SUAT_h,0.023750317473423654
DCDT_c,0.0
DOLPMT_c,0.0
MDUMT_c,0.0
ATDTM_c,0.0
DTMPK_c,0.0
CCP2_m,0.0
CYSS_h,0.0
SAHH_c,-0.007351919705171635
GAPDH_c,0.0
GAPDH_h,17.370055139182274
PGK_h,17.370055139182274
GAPDH_m,-1.5197222903998129
ENO_h,-0.20600461638212414
ENO_m,-1.5197222903998129
G6PDH_c,0.8876188099620124
DMOR_4_h,0.1623085825845414
DMOR_4_m,0.0
MG3_c,0.0
MG2_c,0.0
CBL_m,0.0
IDIH_h,0.0
PETHCT_c,0.0
DHFOR1_c,0.0
THFOR1_c,0.0
THFOR2_c,0.0
DHFOR2_c,0.0
GGPS_h,0.0177053900232018
GUAD_c,0.0
LDH_m,0.0
